Resident ID,Verified,Resident Duration,Rating,Review Date,Review Text,Sentiment,Sentiment Numeric,Compound Score
125,Verified,2016-2025,4.7,10/1/2022,Great place to live. Lots of amenities. Beautiful grounds and pool area. Lots of perks are available for residents. Love the coffee and tea bar in the Clubhouse. Staff is very efficient in handling issues.,Positive,2,0.9459
126,Verified,2016-2025,5.0,9/17/2022,"This is the second time I have lived at The Sedona and have always received great maintenance service. Very professional, friendly, and prompt. Management has made improvements along the way to the grounds and pool area.",Positive,2,0.8714
127,Verified,2022-2025,4.7,9/8/2022,"The move into the Sedona was one of the best experiences I had. The staff was respectful and helpful. Everything is close to my apartment and convenient to get to, like the mailbox, gym, pool, and clubhouse. The building is very clean and pretty.",Positive,2,0.9581
128,Verified,2018-2025,3.8,11/4/2018,"So far so good, the people at the office are very friendly and helpful so far, and the neighbors are pretty friendly as well. Parking is a little bit of trouble but it's a pretty nice apartment community overall.",Positive,2,0.9516
129,Resident,2018-2025,5.0,10/30/2018,"The staff is extremely friendly, proficient, and work to create a community atmosphere with events geared toward bringing everyone together.",Positive,2,0.6801
130,Verified,2018 - 2019,4.5,7/26/2019,Good. Nicely maintained. Maintenance issues have been resolved within 2 hrs. Community is nice and clean.,Positive,2,0.9001
131,Verified,2018-2025,4.8,10/25/2018,"Safe and secure. Well-maintained buildings, great amenities. The only downside is an extremely weak cell signal, which is a safety concern in case of emergencies.",Positive,2,0.791
132,Verified,2015 - 2018,3.3,10/22/2018,"I like the community, but management is missing the customer service piece. They also take too long on common area repairs.",Negative,0,-0.2617
133,Verified,2018-2025,4.8,10/19/2018,Awesome staff. Tina was amazing in helping our family at short notice. Pool area and grounds are beautiful.,Positive,2,0.9325
134,Verified,2018 - 2019,4.8,3/26/2019,"The Sedona is beautiful. It has a lovely clubhouse with a pool, waterfall, and a Cabana that residents can rent. Great community amenities.",Positive,2,0.9153
135,Verified,2017 - 2018,4.7,10/10/2018,"Ever since moving in, the staff has been wonderful, and the community is well-maintained. Communication from them is amazing.",Positive,2,0.8176
136,Verified,2017 - 2018,4.3,9/4/2018,"Quiet, clean neighborhood. The electrical system is always having issues, with wall sockets going out consistently.",Positive,2,0.4019
137,Prospective,Visited 2018,4.7,7/31/2018,Visited the Sedona for an apartment tour. The staff was very welcoming and professional. Definitely considering moving in.,Positive,2,0.7089
138,Resident,2017 - 2018,5.0,5/9/2018,"Superior customer service, fast repairs, and a gorgeous property. Claudia is amazing and goes above and beyond for tenants.",Positive,2,0.9062
139,Resident,2018-2025,3.3,5/7/2018,"The staff here is rude and doesn't care about the residents. I love the apartment, but I can't wait to move out.",Negative,0,-0.0552
140,Resident,2017 - 2018,4.5,2/1/2018,The staff hosts great events and keeps the community well-maintained. Very happy with my experience.,Positive,2,0.8439
141,Resident,2017 - 2018,4.2,1/31/2018,"The grounds are well-kept, and the amenities are great. Claudia is always friendly and helpful.",Positive,2,0.8779
142,Resident,2016 - 2017,5.0,10/10/2017,"We love this place! The location is perfect, and the community is always clean and well-kept.",Positive,2,0.8977
143,Resident,2016 - 2017,2.3,6/19/2017,Management is unresponsive and unprofessional. Had issues ending my lease and was sent to collections unfairly.,Negative,0,-0.5106
144,Verified,2016 - 2019,5.0,9/3/2019,"The team and property are constantly improving. Great place to live, quiet, and worry-free.",Positive,2,0.7845
145,Verified,2017-2025,3.8,4/24/2017,"Only been here a week. Entrance gates not working yet, but overall, it's quiet and nice.",Positive,2,0.5719
146,Verified,2016 - 2017,5.0,4/17/2017,"Great place, nice and clean. The staff is very friendly and helpful.",Positive,2,0.9447
147,Verified,2017-2025,4.5,4/14/2017,"Resident services are great, but key fobs don't always work for the pool and gates.",Positive,2,0.3716
148,Verified,2016 - 2017,4.3,4/12/2017,"Super friendly staff. The gym could use better cooling, as it gets too hot.",Positive,2,0.875
149,Verified,2016 - 2017,4.7,3/8/2017,"Great maintenance staff, responsive office team. Rent is high but location is great.",Positive,2,0.8735
150,Verified,2017-2025,5.0,3/8/2017,"Excellent quality, friendly staff, and beautiful amenities. Very happy with the experience.",Positive,2,0.9412
151,Verified,2017-2025,4.3,3/4/2017,"Move-in condition was poor, with maintenance issues. Noisy neighbors above.",Negative,0,-0.5859
152,Verified,2015 - 2017,3.0,2/28/2017,"Management has changed, and cleanliness has declined. Gates break often.",Neutral,1,0.0
153,Verified,2015 - 2017,4.7,2/7/2017,"Great community, well-maintained. Only issue is long walks from parking to some buildings.",Positive,2,0.6249
154,Verified,2016 - 2017,4.2,2/1/2017,"Great community, but AC units are breaking too soon.",Positive,2,0.3716
155,Verified,2016 - 2017,5.0,1/16/2017,"Beautiful complex, friendly staff. Feels more like a condo than a rental.",Positive,2,0.8718
156,Verified,2016 - 2017,5.0,1/9/2017,Moved from another apartment and couldn't be happier. Secure and well-priced.,Negative,0,-0.5875
157,Verified,2016 - 2017,4.0,1/3/2017,Nice place. Be mindful of chemical sensitivities when moving in.,Positive,2,0.4215
158,Verified,2016 - 2017,3.7,1/2/2017,Beautiful property with great community events. Feels safe.,Positive,2,0.8979
159,Verified,2016-2025,5.0,12/5/2016,Staff is very nice and easy to deal with. The apartment was immaculate upon move-in.,Positive,2,0.7397
160,Verified,2015 - 2016,4.8,11/27/2016,"Not horrible but have lived in better places, had several maintenance calls for different appliances and a pest problem upon move in.",Positive,2,0.3016
161,Verified,2014 - 2016,5.0,11/20/2016,The management and maintenance team have been very helpful. I think the activities that we have are a good way to have everyone involved.,Positive,2,0.7178
162,Verified,2016-2025,4.8,10/12/2016,The apartments at the Sedona are absolutely beautiful. I love the chef-inspired kitchen design and the friendly staff.,Positive,2,0.9165
163,Verified,2016-2025,1.7,10/27/2016,"Problems with pest control keep happening. Millipedes still everywhere, despite pest control visits.",Negative,0,-0.4019
164,Verified,2015 - 2016,4.8,10/4/2016,The complex is beautiful. The amenities are spectacular and the staff is always helpful.,Positive,2,0.7717
165,Verified,2016-2025,4.5,8/8/2016,"If you are sensitive to noise, pick the third floor. Parking is tight in areas, but the location is great.",Positive,2,0.7684
166,Verified,2016-2025,4.5,8/8/2016,Love my apartment and the office staff. Parking is bad at night in the front and side buildings but it's just a short walk to your home.,Positive,2,0.09
167,Verified,2016-2025,3.5,8/8/2016,The Sedona Apartments are small but nice. Biggest complaint is the lack of parking.,Negative,0,-0.2617
168,Verified,2014 - 2016,3.3,7/1/2016,"It went from awesome to 'oh well.' Management doesn't address the issues, and the staff doesn't help much.",Positive,2,0.4295
169,Verified,2016-2025,4.8,3/8/2016,"Excellent Living Environment. Great staff and amenities, parking could be better. Sedona is very close to everything nearby.",Positive,2,0.8934
170,Verified,2015 - 2016,4.5,2/12/2016,"I've been satisfied with this community since moving here. The property is well-maintained, staff is friendly, and amenities are great.",Positive,2,0.8779
171,Verified,2015 - 2016,3.3,2/11/2016,Parking is a serious problem. You must have a sticker on your car or risk getting towed. I don't want to put a sticker on my car.,Negative,0,-0.6511
172,Verified,2015 - 2016,3.0,1/26/2016,Parking is ridiculous. Be aware they will tow your car away! Management does not care about your suggestions on improvement.,Negative,0,-0.3442
173,Verified,2015 - 2016,5.0,1/19/2016,Jasmine made the move-in process easy and polite. Loved the welcome gift. Felt part of the community right away.,Positive,2,0.9136
174,Resident,2013 - 2015,5.0,12/14/2015,I was one of the first residents at the Sedona Apartments and couldn't have been more pleased. Jodi made sure my stay was pleasant.,Positive,2,0.8313
175,Verified,2014 - 2015,4.3,10/5/2015,Jasmine made the move-in process easy and polite. Loved the welcome gift. Felt part of the community right away.,Positive,2,0.9136
176,Verified,2015-2025,4.8,10/3/2015,I recently moved to the Sedona. My new apartment is clean and comfortable. The grounds and common areas are well-kept and the office staff is friendly.,Positive,2,0.8481
177,Verified,2015-2025,5.0,10/2/2015,"Apartments are beautiful, looking out to the pool and lake. Love the amenities here. The staff is amazing and friendly.",Positive,2,0.9442
178,Resident,2015-2025,4.7,9/27/2015,The office and maintenance staff are incredible. The apartments are reasonably priced. The amenities are awesome.,Positive,2,0.6249
179,Verified,2015 - 2016,4.2,3/21/2016,Was top but is steadily declining. Halls are dirty and rules are not enforced. Maintenance just blew debris away.,Negative,0,-0.5346
180,Verified,2014 - 2015,4.7,8/14/2015,"The apartments are well-appointed, the staff is friendly, and the amenities are great! We've truly loved living here.",Positive,2,0.937
181,Verified,2013 - 2015,4.0,7/24/2015,"Up to now, I have been happy at The Sedona. A Racetrack Gas Station is being built on the property, which will affect my decision to renew.",Positive,2,0.5719
182,Verified,2014 - 2015,5.0,7/20/2015,"I absolutely love living at The Sedona! Everything is kept clean, and the staff is friendly and helpful. The grounds and walking path are great!",Positive,2,0.9576
183,Verified,2015 - 2016,5.0,2/23/2016,Very professional staff and they keep the living area clean. The granite countertops and upgraded appliances are awesome.,Positive,2,0.7783
